1.200000000000000025e-02,2.299999999999999961e-02,3.699999999999999817e-02,3.799999999999999906e-02,4.399999999999999745e-02,5.399999999999999939e-02,4.700000000000000011e-02,5.800000000000000294e-02,4.700000000000000011e-02,4.399999999999999745e-02,2.800000000000000058e-02
2.199999999999999872e-02,4.000000000000000083e-02,6.900000000000000577e-02,7.099999999999999367e-02,8.699999999999999400e-02,7.299999999999999545e-02,9.400000000000000022e-02,7.000000000000000666e-02,7.399999999999999634e-02,5.800000000000000294e-02,6.199999999999999956e-02
4.900000000000000189e-02,9.299999999999999933e-02,9.700000000000000289e-02,1.189999999999999947e-01,1.179999999999999938e-01,1.189999999999999947e-01,1.059999999999999970e-01,1.130000000000000032e-01,1.000000000000000056e-01,9.400000000000000022e-02,8.000000000000000167e-02
1.029999999999999943e-01,1.459999999999999909e-01,2.020000000000000129e-01,1.640000000000000069e-01,1.849999999999999978e-01,1.300000000000000044e-01,1.459999999999999909e-01,1.120000000000000023e-01,1.290000000000000036e-01,9.500000000000000111e-02,8.500000000000000611e-02
2.109999999999999931e-01,4.030000000000000249e-01,2.949999999999999845e-01,2.489999999999999991e-01,2.010000000000000120e-01,1.890000000000000013e-01,1.539999999999999980e-01,1.529999999999999971e-01,1.400000000000000133e-01,1.209999999999999964e-01,9.700000000000000289e-02
1.000000000000000000e+00,3.659999999999999920e-01,3.499999999999999778e-01,2.359999999999999876e-01,2.290000000000000091e-01,1.739999999999999880e-01,1.680000000000000104e-01,1.419999999999999873e-01,1.489999999999999936e-01,1.049999999999999961e-01,1.110000000000000014e-01
1.980000000000000093e-01,4.000000000000000222e-01,2.989999999999999880e-01,2.630000000000000115e-01,2.260000000000000064e-01,2.010000000000000120e-01,1.620000000000000051e-01,1.489999999999999936e-01,1.250000000000000000e-01,1.160000000000000059e-01,9.600000000000000200e-02
9.299999999999999933e-02,1.429999999999999882e-01,2.089999999999999913e-01,1.580000000000000016e-01,1.710000000000000131e-01,1.419999999999999873e-01,1.370000000000000107e-01,1.229999999999999982e-01,1.250000000000000000e-01,9.500000000000000111e-02,8.300000000000000433e-02
3.899999999999999994e-02,7.099999999999999367e-02,9.400000000000000022e-02,1.059999999999999970e-01,1.179999999999999938e-01,1.229999999999999982e-01,1.089999999999999997e-01,1.079999999999999988e-01,9.600000000000000200e-02,9.400000000000000022e-02,7.199999999999999456e-02
1.400000000000000029e-02,2.400000000000000050e-02,4.700000000000000011e-02,5.999999999999999778e-02,8.799999999999999489e-02,7.299999999999999545e-02,8.599999999999999312e-02,6.800000000000000488e-02,8.500000000000000611e-02,7.099999999999999367e-02,5.800000000000000294e-02
1.000000000000000021e-02,1.400000000000000029e-02,2.100000000000000130e-02,3.799999999999999906e-02,4.599999999999999922e-02,5.500000000000000028e-02,5.700000000000000205e-02,5.099999999999999672e-02,4.000000000000000083e-02,4.100000000000000172e-02,2.900000000000000147e-02
