-1.099999999999999936e-02,-1.700000000000000122e-02,-3.200000000000000067e-02,-2.400000000000000050e-02,-3.599999999999999728e-02,-3.500000000000000333e-02,-3.600000000000000422e-02,-4.500000000000000527e-02,-3.600000000000000422e-02,-3.200000000000000067e-02,-2.000000000000000042e-02
-1.499999999999999944e-02,-3.500000000000000333e-02,-3.500000000000000333e-02,-6.399999999999998745e-02,-5.799999999999999600e-02,-6.699999999999999012e-02,-7.100000000000000755e-02,-6.700000000000000400e-02,-5.799999999999999600e-02,-5.700000000000000205e-02,-5.299999999999999850e-02
-3.300000000000000155e-02,-4.700000000000000011e-02,-5.100000000000000366e-02,-4.899999999999998801e-02,-7.699999999999998512e-02,-7.599999999999999811e-02,-8.399999999999999134e-02,-9.299999999999999933e-02,-8.400000000000000522e-02,-7.900000000000000078e-02,-7.100000000000000755e-02
-4.099999999999999478e-02,-1.149999999999999911e-01,-6.700000000000000400e-02,-1.370000000000000107e-01,-1.110000000000000014e-01,-1.150000000000000050e-01,-1.029999999999999943e-01,-1.040000000000000091e-01,-1.020000000000000073e-01,-9.199999999999999845e-02,-7.300000000000000933e-02
-5.399999999999999245e-02,-5.300000000000004707e-02,-1.199999999999999956e-01,-9.700000000000000289e-02,-1.220000000000000112e-01,-1.199999999999999956e-01,-1.100000000000000006e-01,-1.039999999999999952e-01,-1.100000000000000144e-01,-9.600000000000000200e-02,-8.000000000000000167e-02
0.000000000000000000e+00,-2.580000000000000071e-01,-8.999999999999996891e-02,-1.890000000000000013e-01,-1.170000000000000068e-01,-1.489999999999999936e-01,-1.080000000000000127e-01,-1.299999999999999767e-01,-1.159999999999999920e-01,-9.199999999999999845e-02,-9.600000000000000200e-02
-2.600000000000002309e-02,-3.200000000000002842e-02,-1.319999999999999785e-01,-1.120000000000000162e-01,-1.350000000000000089e-01,-1.040000000000000091e-01,-1.030000000000000082e-01,-9.999999999999999167e-02,-9.600000000000000200e-02,-8.200000000000000344e-02,-7.400000000000001021e-02
-1.700000000000000122e-02,-1.049999999999999822e-01,-5.599999999999999423e-02,-1.150000000000000050e-01,-9.500000000000001499e-02,-1.199999999999999956e-01,-8.100000000000001643e-02,-1.110000000000000014e-01,-9.099999999999999756e-02,-8.100000000000000255e-02,-6.300000000000000044e-02
-1.499999999999999944e-02,-1.999999999999999695e-02,-4.200000000000000261e-02,-3.599999999999999034e-02,-7.299999999999999545e-02,-7.399999999999999634e-02,-7.699999999999999900e-02,-7.100000000000000755e-02,-6.900000000000000577e-02,-7.699999999999999900e-02,-6.099999999999999867e-02
-7.000000000000000146e-03,-1.700000000000000122e-02,-2.000000000000000042e-02,-5.199999999999999761e-02,-4.599999999999999228e-02,-6.500000000000000222e-02,-5.899999999999999689e-02,-6.000000000000000472e-02,-6.600000000000000311e-02,-6.799999999999999101e-02,-5.100000000000000366e-02
-6.000000000000000125e-03,-8.000000000000000167e-03,-1.300000000000000114e-02,-2.599999999999999881e-02,-3.599999999999999728e-02,-3.099999999999999978e-02,-4.499999999999999833e-02,-4.199999999999999567e-02,-2.999999999999999889e-02,-3.099999999999999978e-02,-2.400000000000000050e-02
